"ID","b0","b1","b2"
"pine.lg.rad.prof",0.0779569592107005,56.8489094066665,0.297985961472726
"pine.md.rad.prof",0.277731541121206,10.1523431049163,0.436759178762685
"spruce.lg.rad.prof",0.291904190583954,14.8664966884235,0.523493807697863
"spruce.md.rad.prof",0.291904190583954,14.8664966884235,0.523493807697863
"pine.sap.depth",-0.4948581792657,0.568734051797495,NA
"spruce.sap.depth",-0.866827136653244,0.563386756389249,NA
"pine.sapwood.area",-8.44695189192401,1.48887171670426,NA
"spruce.sapwood.area",-8.5390343527886,1.40211380379351,NA
"pine.fd.wound.correction",1.09564362333212,0,NA
"spruce.fd.wound.correction",1.06668306204007,0,NA
