"Date","S0.15","Dz","PARz","Week","Month","Year","Ta_1_1_1","RH_1_1_1","VPD_kPa","S0.15.nomiss","Ta_1_1_1.x","RH_1_1_1.x","VPD_kPa.x","S0.15.nomiss.x","P_1_1_1","spei","All_Q.nomiss","P_1_1_1.long.term","P_1_1_1.no.mis","ID","S0.15_loess","PARz_loess","PARz.nomiss","Dz_loess","Dz.nomiss"
2016-11-20 01:00:00,0.359670138888889,0.000321416051353387,6.25929291666667,47,11,2016,-0.624084208333333,99.6595241666667,0.0019857353471537,0.359670138888889,-0.624084208333333,99.6595241666667,0.0019857353471537,0.359011863425926,0.4,1.4310456549,NA,0.8,0.4,325,0.367417822066761,5.59359318091425,6.25929291666667,0.000234112339139101,0.000321416051353387
2016-11-21 01:00:00,0.396388888888889,0.000132152976373366,1.82083583333333,47,11,2016,0.512842520833333,99.66918625,0.00210271622933491,0.396388888888889,0.512842520833333,99.66918625,0.00210271622933491,0.3966015625,2.63,1.4310456549,NA,2.8,2.63,326,0.387333786972207,3.43545877558177,1.82083583333333,0.000440468966846563,0.000132152976373366
2016-11-22 01:00:00,0.402743055555556,0.000999748953432932,3.74762375,47,11,2016,0.187594916666667,99.38988875,0.00365642273560411,0.402743055555556,0.187594916666667,99.38988875,0.00365642273560411,0.413227719907407,2.31,1.4310456549,NA,3.4,2.31,327,0.411608527297979,0.763393877087021,3.74762375,0.000198789826050866,0.000999748953432932
2016-11-23 01:00:00,0.428703703703704,0.000143776723034368,1.33676333333333,47,11,2016,1.15765641666667,99.623975,0.00253075447323728,0.428703703703704,1.15765641666667,99.623975,0.00253075447323728,0.435146122685185,3.22,1.4310456549,NA,3.5,3.22,328,0.422038150859347,8.50241558116979,1.33676333333333,0.00181246944859365,0.000143776723034368
2016-11-24 01:00:00,0.409618055555556,0.00513960458936233,22.4691958333333,47,11,2016,-5.5634159375,94.2426979166667,0.0211866923439159,0.409618055555556,-5.5634159375,94.2426979166667,0.0211866923439159,0.409474826388889,0.07,1.4310456549,NA,0,0.07,329,0.404960404273097,11.9329839899617,22.4691958333333,0.00275824670134795,0.00513960458936233
2016-11-25 01:00:00,0.367013888888889,0.00198766633905926,2.3794,48,11,2016,-5.31192447916667,94.347044375,0.0199280643961184,0.367013888888889,-5.31192447916667,94.347044375,0.0199280643961184,0.369074074074074,10.79,0.769316491250552,NA,10.7,10.79,330,0.37975775274764,10.8631649629433,2.3794,0.0039710735278204,0.00198766633905926
2016-11-26 01:00:00,0.382638888888889,0.00747755167093407,12.5271027083333,48,11,2016,-0.682759479166667,95.4468858333333,0.0247052724234771,0.382638888888889,-0.682759479166667,95.4468858333333,0.0247052724234771,0.38306568287037,2.53,0.769316491250552,NA,2.5,2.53,331,0.375413397378921,9.73616313104921,12.5271027083333,0.00782303890001669,0.00747755167093407
2016-11-27 01:00:00,0.373472222222222,0.0127548958494633,14.683368125,48,11,2016,-6.44125945833333,80.543141875,0.0738077916428878,0.373472222222222,-6.44125945833333,80.543141875,0.0738077916428878,0.37341869212963,0.15,0.769316491250552,NA,0.3,0.15,332,0.372523683437119,13.4180986506313,14.683368125,0.0103058494928001,0.0127548958494633
2016-11-28 01:00:00,0.349913194444444,0.00449844564016014,6.70399770833333,48,11,2016,-4.26040177083333,86.0292875,0.0604845470370311,0.349913194444444,-4.26040177083333,86.0292875,0.0604845470370311,0.349712094907407,0.31,0.769316491250552,NA,0.3,0.31,333,0.351769869299318,7.42147328865053,6.70399770833333,0.00359317964962484,0.00449844564016014
2016-11-29 01:00:00,0.334625,0.00105126441165836,2.80377,48,11,2016,-2.33282179166667,97.7678004166667,0.010156337866086,0.334625,-2.33282179166667,97.7678004166667,0.010156337866086,0.334638310185185,2.73,0.769316491250552,NA,2.1,2.73,334,0.335126736674283,4.40870318349835,2.80377,0.0100627751636133,0.00105126441165836
2016-11-30 01:00:00,0.326265432098765,0.0324608199250849,7.92104708333333,48,11,2016,-1.30306072916667,75.9138854166667,0.13204597952645,0.326265432098765,-1.30306072916667,75.9138854166667,0.13204597952645,0.325928819444444,0.07,0.769316491250552,NA,0,0.07,335,0.325882501488811,5.59180001015313,7.92104708333333,0.0198418792808518,0.0324608199250849
